"","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"1",20,1,8750,1,1,2,1,1,1,1,12,1,1,1,2,5,6,1970,1970,1,1,2,2,1,2,1,2,2,1,1,5,828,1,0,174,1002,1,3,1,1,1002,0,0,1002,1,0,1,0,3,1,2,5,1,0,1,2,2,2,902,1,1,1,0,0,0,0,0,0,1,2,1,0,8,2009,1,1,148500
"2",50,1,11275,1,1,2,4,1,3,2,3,1,1,1,3,6,7,1932,1950,1,1,2,2,1,2,1,2,2,1,3,4,297,6,557,0,854,1,3,1,1,1096,895,0,1991,0,0,1,1,3,1,2,7,1,1,3,2,2,2,432,1,2,1,0,0,19,0,0,0,1,1,1,0,3,2007,1,1,220000
"3",20,1,14601,1,1,1,1,1,1,1,17,1,1,1,2,9,5,2006,2006,2,1,1,1,1,3,1,1,3,1,4,1,1260,1,0,578,1838,1,1,1,1,1838,0,0,1838,1,0,2,0,2,1,3,8,1,1,3,1,3,3,765,1,1,1,270,68,0,0,0,0,1,1,1,0,3,2009,1,1,315000
"4",50,2,8800,1,2,1,1,1,3,1,8,1,1,1,3,4,7,1910,2004,1,1,3,6,2,2,1,3,2,4,1,3,0,1,0,576,576,1,2,1,1,792,348,0,1140,0,0,1,0,3,1,2,7,4,0,1,5,4,0,0,4,3,2,0,160,0,0,0,0,1,1,1,0,6,2010,1,1,96500
"5",60,4,9375,1,1,1,1,1,1,1,6,1,1,1,1,7,5,2003,2004,1,1,1,1,2,1,1,1,1,1,1,3,0,1,0,912,912,1,1,1,1,912,1182,0,2094,0,0,2,1,4,1,1,8,1,1,3,3,3,2,615,1,1,1,182,182,0,0,0,0,1,1,1,0,11,2009,1,1,263000
"6",70,1,12168,1,1,1,4,1,1,2,3,1,1,1,1,8,6,1934,1998,1,1,5,6,2,2,1,1,1,1,3,5,428,1,0,537,965,1,3,1,1,1940,1254,0,3194,0,0,2,1,4,1,2,10,1,2,3,6,2,2,380,1,1,1,0,0,0,0,0,0,1,1,1,0,9,2007,1,5,359100
"7",45,2,6120,1,1,1,1,1,3,1,9,1,1,1,4,7,8,1929,2001,1,1,3,6,2,2,1,3,2,1,1,3,0,1,0,832,832,1,1,1,3,854,0,0,854,0,0,1,0,2,1,2,5,1,0,1,2,2,2,576,1,1,1,48,112,0,0,0,0,1,4,1,0,7,2007,1,1,132000
"8",20,1,10150,1,1,1,1,1,1,1,12,2,1,1,2,5,5,1958,1958,1,1,3,6,2,2,1,2,2,1,1,4,456,1,0,456,912,1,1,1,3,912,0,0,912,0,0,1,0,2,1,2,5,1,0,1,1,1,1,275,1,1,1,0,0,0,0,0,0,1,1,1,0,7,2007,3,1,114500
"9",80,1,9600,1,1,1,1,1,1,1,12,1,1,1,6,6,6,1955,1972,1,1,9,10,1,2,1,2,2,1,4,5,674,6,132,350,1156,1,1,1,1,1520,0,0,1520,1,0,1,0,3,1,2,7,1,2,3,6,1,1,364,1,1,1,0,0,189,0,0,0,1,1,1,0,3,2010,1,1,153000
"10",20,1,10400,1,1,1,1,1,1,1,7,1,1,1,2,7,6,1970,1970,2,1,8,5,1,2,1,1,2,1,1,3,0,1,0,1304,1304,1,2,1,1,1682,0,0,1682,0,0,2,0,3,1,2,7,1,1,3,1,2,2,530,1,1,1,98,0,0,0,0,0,1,2,1,0,5,2008,1,1,174000
