"","MSZoning","Utilities","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","ExterQual","ExterCond","BsmtQual","BsmtCond","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","GrLivArea","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageArea","GarageQual","GarageCond","OpenPorchSF","PoolArea","Fence","MoSold","YrSold","SaleType","SaleCondition","SalePrice","logPrice"
"520",1,1,10,1,1,6,5,1978,2,1,2,1,918,1,2,1,1,1683,3,1,2,7,1,1,2,440,1,1,0,0,1,7,2009,1,1,172500,12.0581525154536
"636",2,1,15,5,5,4,6,1970,2,1,1,1,630,1,2,1,1,630,1,1,2,3,1,0,1,0,4,3,0,0,2,12,2007,1,1,84500,11.3445068133453
"324",1,1,16,1,3,6,5,1924,2,1,2,1,572,3,4,2,2,1096,2,1,2,5,1,0,1,0,4,3,8,0,1,4,2008,1,1,79000,11.2772031314492
"450",2,1,14,1,3,4,5,1925,2,1,2,1,780,1,3,1,3,1208,2,1,2,5,1,0,1,539,1,1,23,0,1,1,2009,1,1,103000,11.5424842672118
"330",1,1,12,1,2,6,6,1959,1,1,2,1,1252,1,1,1,1,1252,3,1,1,7,1,0,1,528,1,1,39,0,1,10,2008,1,1,142000,11.8635823365834
"365",1,1,12,1,2,4,4,1971,2,1,2,1,858,1,3,1,1,858,3,1,2,5,1,0,1,0,4,3,0,0,1,6,2006,1,1,88000,11.3850920934603
"10",1,1,7,1,2,7,6,1970,2,1,2,1,1304,1,2,1,1,1682,3,1,2,7,1,1,3,530,1,1,0,0,2,5,2008,1,1,174000,12.0668105781967
"463",1,1,1,1,1,7,5,1999,1,1,1,1,873,1,1,1,1,1790,3,1,1,7,1,0,1,588,1,1,88,0,1,6,2008,1,2,193000,12.170445467887
"376",2,1,9,1,3,6,7,1929,2,1,2,1,862,1,3,1,1,1158,3,1,2,5,1,1,3,208,1,1,0,0,1,7,2008,1,1,120000,11.6952470217642
"82",1,1,10,1,2,5,5,1966,2,1,2,1,894,1,3,1,1,894,3,1,2,5,1,0,1,384,1,1,0,0,2,5,2007,1,1,125000,11.7360690162844
"482",1,1,17,1,2,6,5,1988,2,1,1,1,1392,1,3,1,1,1412,3,1,1,6,1,1,2,576,1,1,0,0,1,3,2009,1,1,175000,12.0725412529057
"511",2,1,14,1,2,5,6,1940,2,1,2,1,740,1,1,1,1,778,2,1,2,4,1,1,3,924,5,6,25,0,1,2,2008,1,1,120500,11.6994050319128
"59",1,1,12,3,1,5,5,1974,2,1,1,1,896,1,3,1,1,1792,4,2,2,8,1,0,1,0,4,3,45,0,1,9,2009,1,1,136000,11.8204101647182
"42",1,1,12,1,2,7,5,1970,2,2,2,2,1277,1,3,1,1,1277,2,1,2,5,1,1,6,526,1,1,0,0,3,4,2007,1,1,167000,12.0257490913989
"135",1,1,11,1,2,9,5,2006,3,1,3,1,2121,1,1,1,1,2121,3,1,3,8,1,1,5,732,1,1,98,0,1,5,2007,2,3,415298,12.9367516138114
"385",1,1,12,1,2,6,6,1959,2,1,2,1,1194,1,3,1,1,1194,3,1,2,6,1,0,1,312,1,1,0,0,1,4,2010,1,1,148000,11.9049675527463
"148",1,1,22,4,2,8,5,2004,1,1,1,1,1256,1,1,1,1,1269,2,1,1,6,1,1,2,430,1,1,20,0,1,4,2010,1,1,192000,12.1652506510099
"831",1,1,16,1,3,5,7,1955,2,2,2,1,816,1,3,1,1,1393,3,1,2,8,1,0,1,300,1,1,0,0,1,4,2008,1,1,135500,11.8167269193019
