"","MSZoning","Utilities","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","ExterQual","ExterCond","BsmtQual","BsmtCond","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","GrLivArea","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageArea","GarageQual","GarageCond","OpenPorchSF","PoolArea","Fence","MoSold","YrSold","SaleType","SaleCondition","SalePrice","logPrice"
"2",1,1,3,1,3,6,7,1932,2,1,2,1,854,1,3,1,1,1991,3,1,2,7,1,1,3,432,1,2,0,0,1,3,2007,1,1,220000,12.3013828253345
"5",4,1,6,1,1,7,5,2003,1,1,1,1,912,1,1,1,1,2094,4,1,1,8,1,1,3,615,1,1,182,0,1,11,2009,1,1,263000,12.4799093111599
"6",1,1,3,1,1,8,6,1934,2,1,1,1,965,1,3,1,1,3194,4,1,2,10,1,2,3,380,1,1,0,0,1,9,2007,1,5,359100,12.7913561802142
"12",1,1,10,1,2,5,8,1962,2,2,2,1,1040,1,1,1,1,1040,3,1,2,6,1,0,1,260,1,1,104,0,1,4,2010,1,1,127000,11.7519423654407
"13",1,1,16,1,2,4,5,1965,2,1,2,1,960,1,3,1,2,960,3,1,2,6,1,0,1,432,1,1,0,0,1,5,2007,1,1,94750,11.4589971229447
"14",2,1,8,1,2,4,6,1945,2,2,2,1,747,1,3,1,1,747,2,1,2,4,1,0,1,220,1,1,0,0,1,6,2010,1,1,80000,11.289781913656
"15",2,1,23,5,1,5,5,1971,2,1,2,1,630,1,3,1,1,1302,3,1,2,6,1,0,1,280,1,1,0,0,1,5,2009,3,2,112000,11.6262541502772
"16",1,1,12,1,2,6,5,1971,2,1,2,1,981,1,3,1,1,981,3,1,2,5,1,0,1,576,1,1,312,0,1,3,2007,1,1,143250,11.872346634577
"17",1,1,12,1,2,6,5,1954,2,1,2,1,1367,1,1,1,1,1375,2,1,2,5,1,1,2,451,1,1,30,0,1,6,2006,1,1,140000,11.8493977015914
"20",4,1,6,4,2,9,5,1999,1,1,3,1,1698,1,1,1,1,1709,2,1,1,5,1,1,2,506,1,1,65,0,1,1,2008,6,2,328900,12.7035090321771
